extent,grain,cat,scope,pland,pd,lpi,ed,lsi,areamn,areaam,gyratemn,gyrateam,shapemn,shapeam,fracmn,fracam,ennmn,ennam,pladj,nlsi,np,te
Full,60,Full 60,A,10.8046,1.9339,0.4154,23.1777,35.9186,5.5869,37.9885,84.6207,273.8933,1.297,2.143,1.0492,1.1099,213.4646,178.5326,67.4619,0.3192,786,942000
Full,60,Full 60,A,20.0813,2.0643,4.7672,37.1463,42.1854,9.7277,526.4499,97.3786,1048.7621,1.3852,5.8139,1.0541,1.1855,177.2927,141.5238,71.9024,0.2762,839,1509720
Full,60,Full 60,A,8.4325,1.4172,0.8255,16.9256,29.5765,5.95,66.6396,89.3108,450.5222,1.2669,2.1513,1.0465,1.1002,276.6783,239.1851,69.5536,0.2972,576,687900
Full,60,Full 60,A,11.461,1.4074,2.0886,20.4229,30.5439,8.1434,193.1611,95.4056,712.1051,1.311,3.073,1.0497,1.1379,249.1055,188.8565,73.0891,0.2626,572,830040
Full,60,Full 60,A,27.8185,2.207,2.0904,46.1811,44.5014,12.6044,186.6665,113.2052,669.11,1.428,3.844,1.0554,1.1669,160.4987,130.8587,74.8488,0.2473,897,1876920
Full,60,Full 60,A,18.5782,1.6436,1.3136,31.3061,37.1276,11.3034,190.4282,102.0961,748.3984,1.3983,3.9167,1.0524,1.1743,183.7457,135.9628,74.3325,0.2515,668,1272360
Full,60,Full 60,A,28.6759,1.4246,6.0108,37.6925,35.8944,20.1289,764.7268,120.3946,1382.1831,1.4331,5.5291,1.0549,1.1992,181.569,135.9639,80.0426,0.1951,579,1531920
Full,60,Full 60,A,19.6818,1.678,2.5749,32.0575,36.8696,11.729,234.6373,108.7564,749.7166,1.3965,3.8512,1.0544,1.1638,191.9939,146.4562,75.1935,0.243,682,1302900
Full,60,Full 60,A,23.4995,1.5673,1.0346,34.1214,35.8896,14.9934,127.7425,126.8651,589.2669,1.4404,2.9099,1.0584,1.1448,183.5619,145.6723,77.9495,0.2157,637,1386780
Full,60,Full 60,A,38.4309,1.5304,4.3793,48.2199,39.8873,25.1114,584.7214,134.4296,1140.7469,1.5011,5.2323,1.0583,1.1968,151.3369,126.1477,80.8318,0.1878,622,1959780
Full,60,Full 60,A,30.4236,1.4714,4.5157,41.1382,38.0485,20.6771,604.9395,121.077,1289.3293,1.4271,5.948,1.0518,1.2053,176.8676,131.9162,79.4509,0.2012,598,1671960
Full,60,Full 60,A,25.2533,1.8011,4.9036,35.2286,35.7189,14.0213,513.5905,106.1614,1237.6964,1.3534,4.4123,1.0497,1.1725,182.4645,136.0621,78.8267,0.207,732,1431780
Full,60,Full 60,A,44.9741,1.4812,18.6446,57.1677,43.6497,30.3632,3365.9357,116.4997,2723.1912,1.4532,12.4278,1.0491,1.2621,152.1219,122.7223,80.6141,0.1903,602,2323440
Full,60,Full 60,A,28.1773,1.8724,3.1666,43.3541,41.4846,15.0486,479.7896,102.1243,1064.7035,1.3942,5.6355,1.05,1.2073,169.9053,129.82,76.7219,0.2285,761,1762020
Full,60,Full 60,A,20.743,2.0742,3.9169,39.3769,43.759,10.0006,445.4686,94.365,996.1871,1.4263,5.6521,1.0565,1.2056,175.4383,131.969,71.3169,0.2821,843,1600380
Full,60,Full 60,A,17.5418,2.5072,0.7768,39.4995,47.7766,6.9965,66.3141,94.3891,407.9423,1.4334,3.1009,1.058,1.1594,176.1397,136.6923,65.9841,0.3354,1019,1605360
Full,60,Full 60,A,26.0984,1.8896,1.5846,41.7361,41.625,13.8113,214.2679,113.1072,717.9635,1.433,4.0612,1.0557,1.1753,170.2832,132.5667,75.7009,0.2385,768,1696260
Full,60,Full 60,A,25.1763,1.8035,2.2304,36.9352,37.4467,13.9595,255.881,112.7217,820.3501,1.3871,3.7163,1.0512,1.1639,175.3592,136.8736,77.7346,0.218,733,1501140
Full,60,Full 60,A,58.9879,0.6668,31.5981,43.949,29.5783,88.4657,8557.3327,133.5896,4730.7125,1.4063,14.6667,1.046,1.2817,152.0347,121.2311,88.5187,0.1593,271,1786200
Full,60,Full 60,A,50.1692,0.748,17.1149,47.808,34.5798,67.0725,3465.5661,142.9673,2776.7459,1.5451,10.8743,1.0461,1.2691,158.3367,121.3291,85.4694,0.1418,304,1943040
Full,60,Full 60,A,49.6244,0.9079,27.2437,50.0815,36.3755,54.6576,7424.4926,105.3589,4253.5518,1.3913,17.9543,1.0442,1.3065,172.6818,121.6666,84.612,0.1503,369,2035440
Full,60,Full 60,A,23.0734,1.4418,4.5041,33.3965,35.613,16.0028,666.4556,96.5493,1232.1653,1.3855,6.1862,1.0476,1.219,216.9321,127.8136,77.9205,0.2159,586,1357320
Full,60,Full 60,A,32.5539,1.496,3.9222,42.3989,37.987,21.7611,647.4584,119.7283,1266.8746,1.4391,5.7322,1.0541,1.2055,178.0611,134.4983,80.1548,0.1942,608,1723200
Full,60,Full 60,A,32.5875,1.5255,3.9142,42.269,37.8724,21.3619,680.0355,118.4939,1304.4303,1.4304,5.787,1.0539,1.2056,177.0916,133.3646,80.2351,0.1934,620,1717920
Full,60,Full 60,A,22.7298,1.6067,6.3891,33.6977,36.1153,14.147,892.1257,107.458,1244.8104,1.3841,5.833,1.0536,1.1911,208.0784,149.1804,77.4112,0.221,653,1369560
Full,60,Full 60,A,14.3318,1.4492,2.2862,25.1618,33.7294,9.8893,195.9453,105.6865,572.598,1.3754,3.4266,1.0546,1.1468,223.7023,175.6871,73.4209,0.26,589,1022640
Full,60,Full 60,A,59.6664,0.7603,51.799,46.8602,31.2865,78.4788,18306.1469,107.5931,5981.4307,1.3898,22.2202,1.0476,1.3144,143.5516,120.6311,87.924,0.1726,309,1904520
Full,60,Full 60,A,48.7174,1.2499,11.8357,45.5847,33.5468,38.9764,2206.0557,130.099,2473.8306,1.4156,7.7284,1.0501,1.2297,163.3012,124.0846,85.6664,0.1397,508,1852680
Full,60,Full 60,A,50.4659,1.2819,35.3237,49.2636,35.6632,39.3678,10161.7323,102.305,5185.01,1.3417,18.5954,1.0436,1.2901,155.2398,122.9343,85.0397,0.1479,521,2002200
Full,60,Full 60,A,49.7945,1.0949,28.0471,46.3775,33.8653,45.4781,6772.9357,111.8415,4077.8864,1.3669,14.121,1.0437,1.2748,166.7782,124.7263,85.6927,0.1394,445,1884900
Full,60,Full 60,A,58.2554,0.8095,52.4173,46.5679,31.5341,71.965,19177.5037,103.7442,6712.991,1.349,23.7185,1.043,1.3199,155.448,121.9905,87.7015,0.1659,329,1892640
Full,60,Full 60,A,18.3718,1.5845,2.7361,29.2113,34.9031,11.5943,359.5213,102.804,815.9234,1.3904,4.1915,1.0555,1.1728,218.6248,150.6204,75.6834,0.2379,644,1187220
Full,60,Full 60,A,10.9384,1.0063,2.1675,16.5019,25.5067,10.8695,235.2912,108.9703,568.4875,1.3348,2.7553,1.0518,1.1262,292.0466,222.0202,76.9698,0.2233,409,670680
Full,60,Full 60,A,21.7147,1.6042,7.8417,33.4393,36.535,13.5359,2000.2458,92.2943,2114.1151,1.4089,9.8996,1.0562,1.2474,181.6456,129.499,76.6021,0.229,652,1359060
Full,60,Full 60,A,39.9111,0.8636,35.6904,42.1509,34.0541,46.2133,12983.113,90.3524,5851.973,1.38,25.0408,1.0479,1.3329,173.5463,124.6179,83.9396,0.1566,351,1713120
Full,60,Full 60,A,49.69,0.8538,17.4311,51.5415,37.4008,58.1997,4910.8575,111.797,4109.1724,1.4099,15.947,1.0421,1.3045,152.5079,120.9715,84.1991,0.1544,347,2094780
Full,60,Full 60,A,27.6883,1.587,5.2553,38.5783,37.6045,17.4469,992.5515,89.9963,1793.186,1.3293,8.1497,1.0406,1.2447,205.6373,126.6559,78.7069,0.2084,645,1567920
Full,60,Full 60,A,40.6781,1.4246,7.1455,52.8318,42.3124,28.5538,1115.2959,130.8349,1645.0231,1.5139,7.6779,1.0539,1.2351,162.9504,125.2923,80.2369,0.1939,579,2147220
Full,60,Full 60,A,32.5255,2.0028,7.5282,45.6083,40.901,16.2398,1040.1399,99.9781,1462.8526,1.381,6.961,1.0497,1.2144,161.0356,126.0928,78.6138,0.2097,814,1853640
Full,60,Full 60,A,52.3756,0.9768,22.542,43.577,31.0698,53.6191,5304.0712,115.9784,3576.3507,1.3683,11.8939,1.0439,1.2666,160.2852,121.7764,87.2053,0.1359,397,1771080
Full,60,Full 60,A,54.2234,1.0359,40.5285,44.6591,31.2505,52.3462,12501.1899,95.7291,5204.044,1.3164,18.6699,1.0422,1.2936,160.7656,122.0989,87.3652,0.1446,421,1815060
Full,60,Full 60,A,52.2888,0.8685,21.1593,43.8826,31.3045,60.2026,4844.718,129.1534,3730.259,1.4193,11.4056,1.0466,1.2677,151.0711,121.2388,87.1138,0.1365,353,1783500
Full,60,Full 60,A,76.2046,0.3346,73.8007,33.7154,20.3458,227.7318,29063.8183,114.1327,7359.4425,1.2837,18.5374,1.0336,1.2961,150.6785,120.1806,93.059,0.211,136,1370280
Full,60,Full 60,A,89.9961,0.1501,89.6684,22.41,12.8417,599.6184,36310.9068,175.2862,7614.6373,1.3544,12.339,1.0378,1.2547,132.8136,120.2249,95.9681,0.334,61,910800
Full,60,Full 60,A,34.6487,1.0014,23.3055,38.7126,33.7096,34.5998,6982.8344,88.3738,4802.0969,1.3255,18.9461,1.0421,1.3119,184.4327,124.1858,82.9371,0.1664,407,1573380
Full,60,Full 60,A,45.5277,1.0408,21.2186,56.0737,42.4626,43.7438,4571.0698,117.6487,3069.7338,1.4961,15.6352,1.0485,1.2959,160.1444,122.3257,81.2467,0.1839,423,2278980
Full,60,Full 60,A,36.2883,1.7469,12.8933,50.7798,43.0864,20.7725,2274.166,101.1103,2268.3655,1.4068,11.1069,1.0497,1.2588,158.2784,123.8804,78.7029,0.2091,710,2063820
Full,60,Full 60,A,35.0252,1.5501,13.5718,41.519,35.9749,22.5954,2364.8818,113.4907,2541.0954,1.4182,7.8557,1.0522,1.2239,166.4453,127.8861,81.8952,0.1769,630,1687440
Full,60,Full 60,A,46.6695,0.9867,31.3244,42.9112,32.1978,47.3009,8659.6084,123.8572,4409.2572,1.4623,14.2769,1.055,1.2733,163.0103,122.8869,85.9446,0.1368,401,1744020
Full,60,Full 60,A,44.3745,0.9276,30.7593,39.7504,30.6763,47.838,8757.7845,135.0001,4802.0684,1.4628,13.6512,1.055,1.2689,162.3315,124.4398,86.2836,0.1333,377,1615560
Full,60,Full 60,A,71.6766,0.4232,69.7102,36.1764,22.3357,169.3674,27557.9928,110.0169,7491.3891,1.3161,19.7886,1.0432,1.3041,155.0805,120.5732,92.1472,0.1895,172,1470300
